# x_m, y_m, w_tr_right_m, w_tr_left_m
-55.591365253285815, 17.221262141388866, 10.0, 10.0
-56.14226488805284, 17.08432270668528, 10.0, 10.0
-56.69316452281987, 16.9473832719817, 10.0, 10.0
-57.244064157586905, 16.810443837278115, 10.0, 10.0
-57.79496379235393, 16.673504402574533, 10.0, 10.0
-58.320187784245064, 16.45813826153717, 10.0, 10.0
-58.81011388378778, 16.17140627282603, 10.0, 10.0
-59.256799580347575, 15.821099685887852, 10.0, 10.0
-59.65382025654683, 15.415368988215528, 10.0, 10.0
-59.99605701010208, 14.9624707426025, 10.0, 10.0
-60.27947580421869, 14.47062055859841, 10.0, 10.0
-60.50092612245608, 13.94793272354201, 10.0, 10.0
-60.65797612066535, 13.402425515133315, 10.0, 10.0
-60.74879350897807, 12.842072931179747, 10.0, 10.0
-60.664341561409174, 12.280725725864535, 10.0, 10.0
-60.46086907902466, 11.750780667131393, 10.0, 10.0
-60.186638879397904, 11.253748863344095, 10.0, 10.0
-59.870540013820545, 10.7822360601838, 10.0, 10.0
-59.52891860967448, 10.328873476160096, 10.0, 10.0
-59.17112859809629, 9.888159142403778, 10.0, 10.0
-58.8026932498207, 9.456304756638827, 10.0, 10.0
-58.42698939505374, 9.03075871932133, 10.0, 10.0
-58.046150955120154, 8.609801596763294, 10.0, 10.0
-57.66156753046054, 8.192263088550623, 10.0, 10.0
-57.274168665735196, 7.777335461158919, 10.0, 10.0
-56.88459113234851, 7.364452715280959, 10.0, 10.0
-56.49328027315228, 6.953212362398983, 10.0, 10.0
-56.100553028966615, 6.543324416689774, 10.0, 10.0
-55.70663805909733, 6.134577780157724, 10.0, 10.0
-55.311701804894575, 5.726817836710996, 10.0, 10.0
-54.91586570947519, 5.31993136369116, 10.0, 10.0
-54.519217735171914, 4.9138362998889935, 10.0, 10.0
-54.12182010841161, 4.508474803680156, 10.0, 10.0
-53.72371449425893, 4.103808600070943, 10.0, 10.0
-53.324925354159134, 3.6998159787251383, 10.0, 10.0
-52.92546195463558, 3.296490045013377, 10.0, 10.0
-52.57099557188354, 2.85309811921627, 10.0, 10.0
-52.25501389446606, 2.3815067750422942, 10.0, 10.0
-51.97162979257421, 1.889636601969835, 10.0, 10.0
-51.71596163375312, 1.382806641402766, 10.0, 10.0
-51.48412560535189, 0.8646417330014629, 10.0, 10.0
-51.27310149729722, 0.3376582017757585, 10.0, 10.0
-51.08057905724664, -0.19636232820445798, 10.0, 10.0
-50.904822735855944, -0.7361331423974775, 10.0, 10.0
-50.74456444181743, -1.280706457530755, 10.0, 10.0
-50.59892367583046, -1.829369909608721, 10.0, 10.0
-50.46735150742817, -2.381576013219774, 10.0, 10.0
-50.349594762446856, -2.9368922883052395, 10.0, 10.0
-50.25791766436723, -3.4971048605053627, 10.0, 10.0
-50.18235241146218, -4.059717257202038, 10.0, 10.0
-50.11702989699199, -4.623610673963287, 10.0, 10.0
-50.058420271027636, -5.188241286052028, 10.0, 10.0
-50.0043467816673, -5.753324354380727, 10.0, 10.0
-49.953432263722824, -6.318700802621959, 10.0, 10.0
-49.90478340919569, -6.884276708506019, 10.0, 10.0
-49.857806854044966, -7.4499939697147965, 10.0, 10.0
-49.81209963700873, -8.015815201796256, 10.0, 10.0
-49.76738249522989, -8.58171554072045, 10.0, 10.0
-49.72345836764748, -9.147677984155974, 10.0, 10.0
-49.68018605249829, -9.713690636934167, 10.0, 10.0
-49.63746316855344, -10.279745026150273, 10.0, 10.0
-49.59521494807537, -10.845835040396963, 10.0, 10.0
-49.55338676221417, -11.411956245821159, 10.0, 10.0
-49.51193908776707, -11.97810543697691, 10.0, 10.0
-49.47084410973951, -12.544280338526153, 10.0, 10.0
-49.430083452089995, -13.110479407009457, 10.0, 10.0
-49.389646716403945, -13.67670170149321, 10.0, 10.0
-49.34953062984299, -14.242946803867097, 10.0, 10.0
-49.138588775095585, -14.769963264975388, 10.0, 10.0
-48.776930842516734, -15.20750909819309, 10.0, 10.0
-48.29903471724353, -15.513871807758472, 10.0, 10.0
-47.75045960379041, -15.659844960301275, 10.0, 10.0
-47.183502736773086, -15.631512517673025, 10.0, 10.0
-46.6485738426863, -15.44152858510381, 10.0, 10.0
-46.15633645455866, -15.158782815740825, 10.0, 10.0
-45.69707036300106, -14.825140082403516, 10.0, 10.0
-45.26003454898938, -14.462865996062067, 10.0, 10.0
-44.837502977498765, -14.083775126405392, 10.0, 10.0
-44.42446391915683, -13.694363322979525, 10.0, 10.0
-44.01774572945797, -13.298354319885568, 10.0, 10.0
-43.6153357804817, -12.897968194591124, 10.0, 10.0
-43.21593933158849, -12.494575962421397, 10.0, 10.0
-42.818708211140084, -12.08905129817681, 10.0, 10.0
-42.42307574802744, -11.681966822306254, 10.0, 10.0
-42.028655816467605, -11.273707426882561, 10.0, 10.0
-41.63518032731701, -10.86453771172627, 10.0, 10.0
-41.24245992388552, -10.454643211772941, 10.0, 10.0
-40.85035885788716, -10.044156220010315, 10.0, 10.0
-40.45877866527223, -9.633172316292615, 10.0, 10.0
-40.067647397049285, -9.221761150447913, 10.0, 10.0
-39.676912421564516, -8.809973589566937, 10.0, 10.0
-39.286535569077685, -8.397846510371869, 10.0, 10.0
