x_m, y_m
13.52195423,-72.95148681
13.21960113,-72.60705708
12.92294203,-72.25799204
12.63132989,-71.90553686
12.34411756,-71.55093685
12.06064557,-71.19542781
11.7797367,-70.83982771
11.49951257,-70.48439002
11.21804498,-70.12932802
10.93340572,-69.77485475
10.64366648,-69.42118349
10.34689917,-69.06852757
10.04344823,-68.71636367
9.742984462,-68.36114681
9.457571123,-67.99855694
9.199271301,-67.62427391
8.980148261,-67.23397768
8.812264997,-66.82334808
8.703973815,-66.39022287
8.648902811,-65.94100232
8.63702825,-65.48421029
8.657949805,-65.02749673
8.698573906,-64.57226052
8.744633686,-64.11717779
8.784991154,-63.66125282
8.820555436,-63.20479513
8.855129927,-62.74842759
8.892517933,-62.29277309
8.936522943,-61.83845466
8.990948352,-61.3860952
9.05867803,-60.93616299
9.139135185,-60.48854415
9.230928799,-60.04298784
9.332667582,-59.59924303
9.442960427,-59.15705896
9.560416132,-58.7161846
9.683643682,-58.27636929
9.811251877,-57.83736191
9.941849608,-57.39891171
10.07404559,-56.96076783
10.20644888,-56.52267925
10.33766821,-56.08439521
10.46638902,-55.64567864
10.59230197,-55.20647544
10.71580436,-54.76685987
10.8373082,-54.32690897
10.95722556,-53.88669964
11.07596853,-53.446309
11.1939492,-53.00581406
11.31157956,-52.56529166
11.42927169,-52.12481898
11.54743769,-51.68447287
11.66648954,-51.24433043
11.78683943,-50.80446859
11.90879112,-50.36493259
12.03129797,-49.92537105
12.1523962,-49.48516309
12.27010449,-49.04368284
12.38244179,-48.6003043
12.48742661,-48.1544017
12.58305237,-47.70535808
12.66437403,-47.25360963
12.72080849,-46.80161306
12.74113446,-46.35205361
12.7141309,-45.90761648
12.62857651,-45.47098708
12.47332829,-45.04489935
12.2452381,-44.63707698
11.95595968,-44.26448108
11.61874985,-43.94507049
11.24644722,-43.68823323
10.85055617,-43.47603607
10.44227718,-43.2851982
10.02926887,-43.10006364
9.612871725,-42.91858019
9.193772933,-42.74010233
8.772659338,-42.56398465
8.350218237,-42.38958193
7.927133822,-42.21625112
7.503860245,-42.04355615
7.08044806,-41.8714241
6.656907029,-41.69981838
6.233246917,-41.52870258
5.80947767,-41.35804038
5.385608778,-41.18779511
4.961650278,-41.01793053
4.537611843,-40.84841015
4.113503145,-40.67919755
3.689334131,-40.51025615
3.265114474,-40.34154972
2.840854027,-40.17304157
2.416562464,-40.00469549
1.99224964,-39.83647496
1.567925318,-39.6683435
1.143599263,-39.50026469
0.719281329,-39.33220212
0.294981097,-39.16411938
-0.129291486,-38.99597988
-0.553526656,-38.82774731
-0.977714741,-38.65938526
-1.401845887,-38.49085713
-1.825910328,-38.3221267
-2.24989821,-38.15315729
-2.673801778,-37.98391923
-3.097622308,-37.8144171
-3.521364453,-37.6446664
-3.945032687,-37.47468274
-4.368631479,-37.30448191
-4.792165483,-37.13407932
-5.215639171,-36.96349058
-5.639057105,-36.79273148
-6.062423665,-36.62181752
-6.485743506,-36.45076432
-6.909021097,-36.27958747
-7.332261094,-36.10830259
-7.755467784,-35.93692536
-8.178645912,-35.76547138
-8.60179986,-35.59395618
-9.02493428,-35.42239545
-9.448053553,-35.25080469
-9.871162331,-35.0791997
-10.29426509,-34.90759598
-10.71736629,-34.73600915
-11.1404706,-34.5644548
-11.56358239,-34.39294854
-11.98670632,-34.22150607
-12.40984685,-34.05014289
-12.83300837,-33.87887424
-13.25619398,-33.70770698
-13.67940533,-33.53664009
-14.10264414,-33.36567257
-14.52591196,-33.19480351
-14.94921045,-33.02403172
-15.37254133,-32.85335612
-15.79590625,-32.68277568
-16.21930685,-32.51228932
-16.64274467,-32.34189604
-17.06622156,-32.17159474
-17.48973904,-32.00138432
-17.91329887,-31.83126406
-18.33694822,-31.66132366
-18.76084923,-31.49188284
-19.18518195,-31.32329732
-19.61012649,-31.15592241
-20.03586282,-30.99011372
-20.46256904,-30.82622292
-20.88967485,-30.66314553
-21.31474952,-30.49615724
-21.735078,-30.3199808
-22.14794541,-30.12933875
-22.55063661,-29.91895383
-22.94043243,-29.68355304
-23.3132957,-29.41920853
-23.66201491,-29.12523329
-23.97891045,-28.80141806
-24.25865378,-28.448507
-24.50601271,-28.07133847
-24.72846438,-27.67584928
-24.93273144,-27.26760697
-25.11963169,-26.84929147
-25.28720233,-26.42222253
-25.43346442,-25.98771204
-25.55643903,-25.54707183
-25.65414729,-25.1016138
-25.72491989,-24.65260833
-25.76944338,-24.20100861
-25.78948638,-23.74762277
-25.78682324,-23.2932579
-25.76322824,-22.83872102
-25.72047582,-22.38481943
-25.66042776,-21.93229554
-25.58559381,-21.48141232
-25.4987746,-21.0322175
-25.40277226,-20.58475789
-25.30038888,-20.13908022
-25.1944265,-19.6952312
-25.0867768,-19.2533457
-24.97273093,-18.81419789
-24.84467005,-18.37884361
-24.69544533,-17.94832277
-24.5248201,-17.52342741
-24.33772576,-17.10476442
-24.13917533,-16.69290195
-23.93264691,-16.28718581
-23.71970023,-15.88543358
-23.50177101,-15.48537267
-23.27980471,-15.08580231
-23.05370788,-14.68779225
-22.82323852,-14.2926968
-22.58759958,-13.90170706
-22.34531196,-13.51581383
-22.09485527,-13.13599557
-21.83470882,-12.76323077
-21.56335192,-12.39849771
-21.27930195,-12.04275744
-20.98232448,-11.69639303
-20.67368972,-11.35909113
-20.3547572,-11.03049704
-20.02688673,-10.71025608
-19.69143775,-10.39801329
-19.34975402,-10.0934158
-19.00267366,-9.796162208
-18.65043657,-9.506012075
-18.29324798,-9.222728971
